time,x,y,z,pitch,yaw
0.259885,-1495.0,0.0,22.149887,0.0,0.0
0.515443,-1495.0,0.0,22.149887,0.0,0.0
0.758514,-1493.279053,0.021764,22.149887,356.121552,3.446671
1.015109,-1404.575439,9.657645,22.149887,346.749847,6.846458
1.265411,-1277.24292,19.440573,22.149887,347.785492,1.800081
1.520535,-1276.358643,19.483049,22.149887,347.785492,1.800081
1.764896,-1236.556763,20.179323,22.149887,354.39505,356.160522
2.018636,-1222.247803,20.52504,22.149895,0.260071,352.157135
2.261284,-1215.78894,15.149342,22.149895,1.458168,352.157135
2.521849,-1194.584106,5.997598,22.149895,5.899317,323.079346
2.761543,-1125.672241,-1.448773,22.150017,9.771083,300.22879
3.016186,-1034.951294,-3.929854,22.150002,28.377304,297.665558
3.265095,-1034.951294,-3.929854,22.150002,17.006056,310.645569
3.518379,-988.489014,-34.388828,22.150002,7.40025,332.309357
3.759395,-869.864563,-95.618759,22.150002,5.619318,347.535614
4.016469,-852.005981,-95.410614,22.150002,7.678896,19.80707
4.272328,-759.467468,-152.220535,22.150002,22.52841,30.448921
4.511011,-734.856812,-157.143433,22.150002,9.589175,24.603516
4.767591,-616.197266,-117.248528,22.150002,356.610229,8.706434
5.018632,-477.385315,-164.589584,22.150002,356.435242,8.531452
5.268816,-403.380463,-181.01297,22.150002,359.334229,47.689289
5.512063,-322.569092,-229.907547,22.150002,359.6362,72.417198
5.763884,-316.384979,-231.223495,22.150002,0.719443,60.142071
6.02,-258.178619,-169.530594,22.150002,15.543417,36.644962
6.259794,-143.592194,-82.582649,22.150002,6.427289,29.55748
6.516304,-1.575325,-27.79388,22.150002,348.626648,358.086914
6.769668,150.33255,-25.755604,22.150002,352.567352,0.55304
7.009086,293.904633,-22.361013,22.150002,354.390015,4.793463
7.265493,447.401154,-12.102919,22.150002,355.497894,2.431551
7.513929,596.311951,-5.394864,22.150002,355.497894,2.431551
7.771349,621.181091,-4.32899,22.150002,355.497894,2.431551
8.018404,680.138794,-1.825415,22.150002,355.497894,2.431551
8.271766,727.785095,0.197838,22.150002,355.497894,2.431551
8.515553,727.785095,0.197838,22.150002,355.497894,2.431551
8.770394,732.086609,0.3805,22.150002,355.497894,2.431551
9.015585,774.951416,1.034151,22.150002,356.022827,0.642167
9.258935,788.955078,1.43183,22.150002,357.78537,329.105225
9.517025,846.237976,-0.427559,22.150017,359.732452,301.330292
9.767895,968.554199,-54.55983,22.150002,359.249786,285.997101
10.020938,1018.020142,-196.853607,22.150002,358.927551,338.514404
10.26091,1008.549744,-340.365234,22.150002,358.797607,46.281006
10.516757,1028.437012,-491.420197,22.150002,357.476776,60.140923
10.76773,1121.183228,-609.464417,22.150002,355.361084,15.4305
11.017288,1259.066406,-650.252502,22.150002,355.082642,11.725711
11.26057,1396.691284,-605.673828,22.150002,355.691864,60.438072
11.508946,1534.562744,-549.710388,22.150002,355.341888,73.108864
11.771346,1609.771118,-414.109924,22.150002,355.341888,73.108864
12.02016,1654.791748,-271.775024,22.150002,354.849976,70.326103
12.268824,1713.530151,-134.955399,22.150002,356.493347,46.625969
12.514235,1744.599487,8.849537,22.150002,357.429565,24.175341
12.770131,1807.904663,147.922272,22.150002,358.01181,359.993195
13.020787,1857.247925,289.092529,22.150002,359.033447,339.279572
13.262419,1915.074341,421.531128,22.150002,358.313782,316.144836
13.517421,2044.231689,481.452515,22.150002,357.122864,297.671722
13.771023,2191.102783,443.513123,22.150002,357.224609,277.720337
14.012191,2335.746094,441.10675,22.150002,357.224609,269.42691
14.270355,2448.70874,356.695679,22.150002,356.457123,300.391632
14.509996,2472.138184,215.871399,22.150002,355.470825,329.096252
14.758561,2532.297607,85.00927,22.150002,354.17688,337.969391
15.014203,2653.29834,30.551859,22.150002,355.940155,354.776398
15.260003,2663.263428,29.412054,22.150002,355.940155,354.951385
15.508407,2696.540283,26.47225,22.150002,355.940155,354.951385
15.768562,2696.540283,26.47225,22.150002,355.940155,354.951385
16.018929,2740.331787,22.603546,22.150002,355.940155,354.951385
16.264135,2787.900635,3.343741,22.150002,355.940155,354.951385
16.511843,2823.782715,1.452106,22.150002,358.892365,328.046356
16.760138,2948.123535,-6.006043,22.150017,4.246594,296.575073
17.008707,3017.786377,-19.285486,22.150017,4.246594,287.277618
17.258356,3050.324707,-76.354828,22.150017,5.134074,325.153046
17.513538,3117.982422,-209.911346,22.150017,5.134074,352.530151
17.770145,3142.455566,-361.802429,22.150017,4.565053,19.287909
18.017788,3213.81543,-488.939392,22.150017,3.300264,62.582874
18.270588,3349.98584,-552.656616,22.150017,3.300264,79.535728
18.508404,3489.081787,-557.761658,22.150017,2.950299,81.537407
18.770681,3599.280273,-453.473816,22.150017,2.950299,77.261536
19.016649,3644.075439,-312.871094,22.150017,2.250368,70.243088
19.261971,3693.003662,-174.050522,22.150017,2.250368,70.243088
19.518799,3714.778564,-24.623842,22.150017,1.900403,49.57761
19.760681,3719.462891,119.691956,22.150017,1.140225,28.319574
20.010691,3765.761475,261.983215,22.150017,2.022274,8.715879
20.264198,3868.43042,371.306915,22.150017,2.987019,336.459961
20.520367,3998.959229,450.067688,22.150017,2.6641,308.819763
20.765259,4122.002441,528.948792,22.150017,2.6641,285.661621
21.014788,4256.861328,560.280884,22.150017,2.97315,268.711945
21.261951,4283.007324,557.491516,22.150017,8.219501,261.641998
21.514368,4407.693848,527.709351,22.150017,8.219501,261.641998
21.765255,4433.873047,386.065308,22.150017,7.012823,268.231293
22.008959,4415.021484,246.843277,22.150002,0.396759,301.104218
22.26685,4424.395996,92.907806,22.150002,358.109253,334.83783
22.520267,4543.326172,9.30114,22.150002,355.881195,356.456848
22.768196,4691.282715,-3.46372,22.150002,355.881195,1.803844
23.010019,4731.053223,-3.341776,22.150002,355.241333,2.44369
23.269312,4731.053223,-3.341776,22.150002,355.241333,2.44369
23.51726,4731.053223,-3.341776,22.150002,355.241333,2.44369
23.765747,4733.358398,-3.243443,22.150002,354.891357,2.093725
24.018007,4788.054199,1.46153,22.150002,352.953186,349.139984
24.259146,4834.166016,1.462018,22.150002,355.089233,316.368286
24.515211,4975.723633,-14.045224,22.150002,357.395996,285.461639
24.760601,5015.567383,-11.540391,22.150002,358.507111,280.452606
25.010801,5038.500488,-69.2966,22.150002,356.400696,346.107849
25.270079,5091.259766,-201.226013,22.150002,355.803375,64.997467
25.512125,5221.250488,-264.037994,22.150002,355.205566,73.359512
25.769964,5334.328613,-268.17865,22.150002,356.468567,25.680456
26.016785,5472.237793,-226.262741,22.150002,356.99353,0.25662
26.260275,5618.241699,-223.467041,22.150002,357.168518,358.811707
26.513742,5754.350586,-165.654175,22.150002,357.168518,358.811707
26.766607,5903.427246,-142.57222,22.150002,359.031891,6.78793
27.019091,6046.040039,-102.828972,22.150002,358.506927,5.525726
27.262064,6182.849121,-59.142086,22.150002,358.33194,4.795014
27.515194,6334.032715,-44.742989,22.150002,357.630524,3.377024
27.764997,6476.589355,-9.112484,22.150002,356.846863,1.03038
28.009659,6621.356445,8.356503,22.150002,355.356628,358.211212
28.268303,6726.270508,6.274996,22.150002,355.356628,358.211212
28.510933,6726.270508,6.274996,22.150002,355.356628,358.211212
28.765043,6726.270508,6.274996,22.150002,355.356628,358.211212
29.016378,6773.401367,7.200325,22.150002,355.356628,358.211212
