,delta_mean
0,0.0
1,1.0
2,0.0
3,1.0
4,1.0
5,0.0
6,0.0
7,0.0
8,1.0
9,0.0
10,1.0
11,0.0
12,1.0
13,0.0
14,1.0
15,0.0
16,0.0
17,0.0
18,1.0
19,0.0
20,1.0
21,1.0
22,1.0
23,1.0
24,0.0
25,1.0
26,0.0
27,0.0
28,1.0
29,1.0
30,0.0
31,0.0
32,0.0
33,1.0
34,0.0
35,1.0
36,1.0
37,1.0
38,0.0
39,0.0
40,0.0
41,1.0
42,0.0
43,0.0
44,0.0
45,1.0
46,0.0
47,0.0
48,0.0
49,1.0
50,1.0
51,0.0
52,1.0
53,1.0
54,0.0
55,1.0
56,0.0
57,0.0
58,1.0
59,0.0
60,1.0
61,1.0
62,0.0
63,1.0
64,1.0
65,0.0
66,0.0
67,0.0
68,1.0
69,1.0
70,1.0
71,0.0
72,0.0
73,0.0
74,1.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,0.0
89,0.0
90,1.0
91,0.0
92,0.0
93,0.0
94,0.0
95,1.0
96,1.0
97,1.0
98,0.0
99,0.0
100,1.0
101,1.0
102,0.0
103,0.0
104,1.0
105,1.0
106,1.0
107,0.0
108,0.0
109,1.0
110,0.0
111,1.0
112,1.0
113,1.0
114,1.0
115,0.0
116,1.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,1.0
125,1.0
126,0.0
127,1.0
128,0.0
129,1.0
130,0.0
131,0.0
132,0.0
133,1.0
134,0.0
135,0.0
136,1.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,1.0
143,0.0
144,0.0
145,0.0
146,1.0
147,1.0
148,0.0
149,0.0
150,1.0
151,0.0
152,0.0
153,0.0
154,1.0
155,1.0
156,0.0
157,0.0
158,1.0
159,1.0
160,0.0
161,1.0
162,0.0
163,1.0
164,1.0
165,1.0
166,0.0
167,1.0
168,0.0
169,0.0
170,0.0
171,1.0
172,0.0
173,1.0
174,0.0
175,1.0
176,1.0
177,0.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,0.0
185,1.0
186,1.0
187,1.0
188,0.0
189,0.0
190,0.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,0.0
198,1.0
199,0.0
200,0.0
201,0.0
202,1.0
203,1.0
204,0.0
205,0.0
206,1.0
207,1.0
208,0.0
209,1.0
210,1.0
211,0.0
212,1.0
213,1.0
214,0.0
215,0.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,0.0
222,0.0
223,1.0
224,1.0
225,0.0
226,1.0
227,0.0
228,1.0
229,0.0
230,1.0
231,1.0
232,0.0
233,0.0
234,0.0
235,0.0
236,1.0
237,0.0
238,1.0
239,1.0
240,0.0
241,1.0
242,1.0
243,1.0
244,0.0
245,0.0
246,1.0
247,0.0
248,0.0
249,0.0
250,0.0
251,1.0
252,1.0
253,1.0
254,0.0
255,0.0
256,1.0
257,1.0
258,0.0
259,1.0
260,1.0
261,1.0
262,1.0
263,0.0
264,0.0
265,0.0
266,0.0
267,1.0
268,0.0
269,1.0
270,0.0
271,0.0
272,0.0
273,1.0
274,0.0
275,0.0
276,0.0
277,1.0
278,1.0
279,1.0
280,1.0
281,0.0
282,1.0
283,1.0
284,0.0
285,1.0
286,1.0
287,1.0
288,1.0
289,1.0
290,1.0
291,1.0
292,1.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,1.0
301,1.0
302,1.0
303,0.0
304,0.0
305,1.0
306,0.0
307,1.0
308,0.0
309,0.0
310,0.0
311,1.0
312,1.0
313,0.0
314,0.0
315,0.0
316,1.0
317,1.0
318,0.0
319,0.0
320,0.0
321,0.0
322,1.0
323,0.0
324,0.0
325,1.0
326,1.0
327,0.0
328,0.0
329,1.0
330,0.0
331,0.0
332,1.0
333,1.0
334,1.0
335,1.0
336,0.0
337,1.0
338,1.0
339,1.0
340,1.0
341,1.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,1.0
350,1.0
351,1.0
352,0.0
353,1.0
354,0.0
355,1.0
356,1.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,1.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,1.0
370,1.0
371,0.0
372,1.0
373,1.0
374,0.0
375,1.0
376,0.0
377,1.0
378,0.0
379,1.0
380,1.0
381,1.0
382,0.0
383,0.0
384,0.0
385,0.0
386,1.0
387,1.0
388,1.0
389,0.0
390,1.0
391,0.0
392,1.0
393,0.0
394,1.0
395,1.0
396,1.0
397,0.0
398,0.0
399,1.0
400,0.0
401,0.0
402,0.0
403,1.0
404,0.0
405,1.0
406,1.0
407,0.0
408,0.0
409,0.0
410,0.0
411,1.0
412,0.0
413,0.0
414,1.0
415,1.0
416,0.0
417,1.0
418,0.0
419,0.0
420,1.0
421,1.0
422,1.0
423,0.0
424,0.0
425,1.0
426,0.0
427,1.0
428,1.0
429,0.0
430,0.0
431,1.0
432,0.0
433,0.0
434,1.0
435,0.0
436,0.0
437,1.0
438,0.0
439,0.0
440,0.0
441,1.0
442,1.0
443,0.0
444,0.0
445,1.0
446,1.0
447,0.0
448,0.0
449,1.0
450,0.0
451,1.0
452,1.0
453,1.0
454,1.0
455,1.0
456,1.0
457,1.0
458,1.0
459,0.0
460,0.0
461,0.0
462,1.0
463,1.0
464,0.0
465,1.0
466,0.0
467,0.0
468,0.0
469,0.0
470,1.0
471,1.0
472,1.0
473,1.0
474,0.0
475,0.0
476,0.0
477,1.0
478,1.0
479,0.0
480,1.0
481,0.0
482,1.0
483,1.0
484,0.0
485,0.0
486,0.0
487,0.0
488,1.0
489,1.0
490,1.0
491,1.0
492,0.0
493,1.0
494,1.0
495,1.0
496,0.0
497,1.0
498,0.0
499,1.0
500,0.0
501,0.0
502,0.0
503,1.0
504,1.0
505,1.0
506,1.0
507,1.0
508,1.0
509,1.0
510,0.0
511,1.0
512,0.0
513,1.0
514,0.0
515,0.0
516,1.0
517,1.0
518,1.0
519,1.0
520,1.0
521,0.0
522,0.0
523,1.0
524,0.0
525,0.0
526,0.0
527,0.0
528,1.0
529,1.0
530,1.0
531,1.0
532,0.0
533,0.0
534,1.0
535,0.0
536,0.0
537,0.0
538,1.0
539,1.0
540,0.0
541,1.0
542,0.0
543,0.0
544,0.0
545,0.0
546,1.0
547,1.0
548,1.0
549,0.0
550,1.0
551,0.0
552,0.0
553,0.0
554,1.0
555,1.0
556,1.0
557,0.0
558,0.0
559,1.0
560,0.0
561,0.0
562,0.0
563,0.0
564,1.0
565,0.0
566,0.0
567,1.0
568,0.0
569,1.0
570,0.0
571,1.0
572,0.0
573,0.0
574,1.0
575,1.0
576,1.0
577,1.0
578,0.0
579,1.0
580,1.0
581,1.0
582,1.0
583,1.0
584,0.0
585,0.0
586,1.0
587,1.0
588,1.0
589,0.0
590,0.0
591,1.0
592,1.0
593,1.0
594,0.0
595,0.0
596,0.0
597,1.0
598,1.0
599,1.0
600,1.0
601,1.0
602,1.0
603,0.0
604,1.0
605,1.0
606,0.0
607,1.0
608,0.0
609,1.0
610,1.0
611,1.0
612,0.0
613,1.0
614,0.0
615,0.0
616,1.0
617,0.0
618,0.0
619,1.0
620,0.0
621,0.0
622,1.0
623,0.0
624,1.0
625,0.0
626,1.0
627,1.0
628,1.0
629,1.0
630,0.0
631,0.0
632,0.0
633,1.0
634,1.0
635,0.0
636,0.0
637,0.0
638,1.0
